title,date,L,E,M,C,B,A,i+,i,i-
"Englanti, lyhyt oppimäärä",Kevät 2007,265,240,210,180,150,120,,,
"Ranska, lyhyt oppimäärä",Kevät 2007,279,254,230,201,171,130,,,
"Venäjä, lyhyt oppimäärä",Kevät 2007,280,258,228,194,170,134,,,
"Espanja, lyhyt oppimäärä",Kevät 2007,283,265,238,204,172,136,,,
"Italia , lyhyt oppimäärä",Kevät 2007,283,265,237,199,169,130,,,
"Latina, laajempi oppimäärä",Kevät 2007,197,184,162,143,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2007,197,184,162,146,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2007,195,182,165,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2007,200,175,155,135,115,100,,,
"Latina, lyhyt oppimäärä",Kevät 2005,198,183,168,144,120,097,,,
"Latina, laajempi oppimäärä",Kevät 2005,195,182,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2005,200,180,160,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2005,200,180,160,140,120,100,,,
"Koltansaame, lyhyt oppimäärä",Kevät 2005,200,180,160,140,120,100,,,
"Äidinkieli, pohjoissaame",Kevät 2008,060,050,040,030,020,010,,,
Suomi toisena kielenä,Kevät 2008,188,170,154,131,113,094,,,
Svenska som andraspråk,Kevät 2008,180,165,145,130,115,095,,,
"Matematiikka, pitkä oppimäärä",Kevät 2008,059,051,042,031,022,014,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2008,048,038,030,022,015,009,,,
"Ruotsi, pitkä oppimäärä",Kevät 2008,272,252,230,197,155,115,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2008,262,232,204,171,138,110,,,
"Suomi, pitkä oppimäärä",Kevät 2008,281,261,242,217,187,142,,,
"Suomi, keskipitkä oppimäärä",Kevät 2008,265,241,214,185,150,113,,,
"Englanti, pitkä oppimäärä",Kevät 2008,267,245,223,198,168,127,,,
"Saksa, pitkä oppimäärä",Kevät 2008,278,254,234,210,181,133,,,
"Saksa, lyhyt oppimäärä",Syksy 2007,283,257,231,200,167,133,,,
"Englanti, lyhyt oppimäärä",Syksy 2007,267,237,210,180,150,117,,,
"Ranska, lyhyt oppimäärä",Syksy 2007,281,257,231,201,171,132,,,
"Venäjä, lyhyt oppimäärä",Syksy 2007,284,265,235,195,165,125,,,
"Espanja, lyhyt oppimäärä",Syksy 2007,289,275,257,228,184,132,,,
"Italia , lyhyt oppimäärä",Syksy 2007,290,272,250,207,177,130,,,
"Latina, laajempi oppimäärä",Syksy 2007,197,182,162,143,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2007,197,184,160,144,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2007,195,182,165,140,120,100,,,
"Portugali, lyhyt oppimäärä",Syksy 2007,190,178,166,155,120,100,,,
"Äidinkieli, ruotsi",Syksy 2008,087,076,060,041,030,019,,,
"Äidinkieli, pohjoissaame",Syksy 2008,060,050,040,030,020,010,,,
Suomi toisena kielenä,Syksy 2008,181,166,151,130,114,091,,,
Svenska som andraspråk,Syksy 2008,185,165,145,130,115,095,,,
"Matematiikka, pitkä oppimäärä",Syksy 2008,056,044,034,025,017,010,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2008,045,034,025,018,012,007,,,
"Ruotsi, pitkä oppimäärä",Syksy 2008,270,245,223,190,148,112,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2008,260,230,200,165,135,108,,,
"Suomi, pitkä oppimäärä",Syksy 2008,282,263,243,214,180,127,,,
"Suomi, keskipitkä oppimäärä",Syksy 2008,264,239,223,189,161,116,,,
"Englanti, pitkä oppimäärä",Syksy 2008,270,249,227,197,157,122,,,
"Saksa, pitkä oppimäärä",Syksy 2008,288,267,241,212,175,123,,,
"Ranska, pitkä oppimäärä",Syksy 2008,277,249,229,199,166,134,,,
"Äidinkieli, ruotsi",Syksy 2009,090,076,063,046,033,020,,,
"Äidinkieli, pohjoissaame",Syksy 2009,060,050,040,030,020,010,,,
Suomi toisena kielenä,Syksy 2009,179,163,148,127,109,084,,,
Svenska som andraspråk,Syksy 2009,180,160,140,125,110,084,,,
"Matematiikka, pitkä oppimäärä",Syksy 2009,059,047,034,019,013,008,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2009,049,038,027,018,011,007,,,
"Ruotsi, pitkä oppimäärä",Syksy 2009,274,252,226,189,144,110,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2009,260,229,199,166,135,107,,,
"Suomi, pitkä oppimäärä",Syksy 2009,281,261,239,210,180,140,,,
"Suomi, keskipitkä oppimäärä",Syksy 2009,267,245,225,195,165,114,,,
"Englanti, pitkä oppimäärä",Syksy 2009,270,251,232,207,169,129,,,
Suomi toisena kielenä,Syksy 2010,183,164,149,129,107,082,,,
Svenska som andraspråk,Syksy 2010,180,160,140,125,110,084,,,
"Matematiikka, pitkä oppimäärä",Syksy 2010,054,039,025,015,010,007,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2010,049,038,029,021,014,009,,,
"Ruotsi, pitkä oppimäärä",Syksy 2010,273,250,224,191,142,108,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2010,265,238,212,181,148,116,,,
"Suomi, pitkä oppimäärä",Syksy 2010,285,266,241,213,187,147,,,
"Suomi, keskipitkä oppimäärä",Syksy 2010,253,238,212,182,147,103,,,
"Englanti, pitkä oppimäärä",Syksy 2010,270,250,230,203,169,124,,,
"Saksa, pitkä oppimäärä",Syksy 2010,279,256,226,197,172,125,,,
"Ranska, pitkä oppimäärä",Syksy 2010,277,261,233,194,170,130,,,
"Venäjä, pitkä oppimäärä",Syksy 2010,281,264,237,206,170,130,,,
Suomi toisena kielenä,Syksy 2011,184,169,154,131,111,095,,,
Svenska som andraspråk,Syksy 2011,184,169,154,131,111,095,,,
"Matematiikka, pitkä oppimäärä",Syksy 2011,059,049,036,023,015,010,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2011,049,038,030,022,015,009,,,
"Ruotsi, pitkä oppimäärä",Syksy 2011,273,252,227,193,148,112,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2011,252,220,192,161,130,104,,,
"Suomi, pitkä oppimäärä",Syksy 2011,280,256,235,210,180,136,,,
"Suomi, keskipitkä oppimäärä",Syksy 2011,252,235,209,181,146,110,,,
"Englanti, pitkä oppimäärä",Syksy 2011,275,258,241,216,177,128,,,
"Saksa, pitkä oppimäärä",Syksy 2011,285,257,223,192,160,118,,,
"Ranska, pitkä oppimäärä",Syksy 2011,283,265,237,197,172,130,,,
"Venäjä, pitkä oppimäärä",Syksy 2011,276,260,236,204,167,120,,,
"Espanja, pitkä oppimäärä",Syksy 2011,278,257,240,206,175,135,,,
"Äidinkieli, pohjoissaame",Kevät 2009,055,050,045,035,025,015,,,
Suomi toisena kielenä,Kevät 2009,181,165,150,128,104,084,,,
Svenska som andraspråk,Kevät 2009,180,165,150,128,108,090,,,
"Matematiikka, pitkä oppimäärä",Kevät 2009,057,046,035,025,018,011,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2009,054,043,033,022,014,008,,,
"Ruotsi, pitkä oppimäärä",Kevät 2009,270,245,221,191,152,112,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2009,248,215,184,150,120,095,,,
"Suomi, pitkä oppimäärä",Kevät 2009,276,260,243,220,194,142,,,
"Suomi, keskipitkä oppimäärä",Kevät 2009,265,242,221,195,161,118,,,
Suomi toisena kielenä,Kevät 2011,186,169,152,130,108,084,,,
Svenska som andraspråk,Kevät 2011,185,170,155,135,110,084,,,
"Matematiikka, pitkä oppimäärä",Kevät 2011,059,051,040,028,018,012,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2011,049,040,032,023,015,009,,,
"Ruotsi, pitkä oppimäärä",Kevät 2011,270,248,223,195,155,115,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2011,252,221,195,166,135,108,,,
"Suomi, pitkä oppimäärä",Kevät 2011,282,261,239,210,181,148,,,
"Suomi, keskipitkä oppimäärä",Kevät 2011,259,238,217,191,157,121,,,
"Englanti, pitkä oppimäärä",Kevät 2011,270,250,230,204,171,130,,,
"Saksa, pitkä oppimäärä",Kevät 2011,284,260,234,209,177,125,,,
Suomi toisena kielenä,Kevät 2010,183,168,154,133,114,085,,,
Svenska som andraspråk,Kevät 2010,185,170,155,135,120,090,,,
"Matematiikka, pitkä oppimäärä",Kevät 2010,058,045,032,023,016,011,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2010,054,045,036,026,017,010,,,
"Ruotsi, pitkä oppimäärä",Kevät 2010,270,249,229,203,168,125,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2010,252,220,193,164,135,110,,,
"Suomi, pitkä oppimäärä",Kevät 2010,280,261,243,217,185,150,,,
"Suomi, keskipitkä oppimäärä",Kevät 2010,255,220,193,170,140,102,,,
"Englanti, pitkä oppimäärä",Kevät 2010,266,247,228,202,169,129,,,
"Saksa, pitkä oppimäärä",Kevät 2010,284,262,241,212,184,141,,,
"Ranska, pitkä oppimäärä",Kevät 2010,282,259,241,213,185,132,,,
"Venäjä, pitkä oppimäärä",Kevät 2010,278,251,220,190,160,125,,,
"Espanja, pitkä oppimäärä",Kevät 2010,284,268,245,218,170,138,,,
"Saksa, lyhyt oppimäärä",Kevät 2010,277,249,221,188,156,120,,,
"Englanti, lyhyt oppimäärä",Kevät 2010,262,240,210,180,155,118,,,
"Portugali, lyhyt oppimäärä",Kevät 2007,185,171,161,150,120,100,,,
Evankelis-luterilainen uskonto,Kevät 2007,035,029,024,019,014,010,,,
Ortodoksinen uskonto,Kevät 2007,031,026,021,017,012,010,,,
Elämänkatsomustieto,Kevät 2007,035,028,024,019,015,010,,,
Filosofia,Kevät 2007,034,026,021,016,011,007,,,
Psykologia,Kevät 2007,032,026,021,017,013,009,,,
Historia,Kevät 2007,034,028,023,018,014,010,,,
Yhteiskuntaoppi,Kevät 2007,035,029,024,020,016,012,,,
Fysiikka,Kevät 2007,043,035,028,020,014,009,,,
"Äidinkieli, suomi",Kevät 2012,086,071,060,048,036,024,,,
"Ranska, pitkä oppimäärä",Kevät 2008,284,263,243,223,187,140,,,
"Venäjä, pitkä oppimäärä",Kevät 2008,274,251,220,190,160,125,,,
"Espanja, pitkä oppimäärä",Kevät 2008,268,258,225,208,180,134,,,
"Saksa, lyhyt oppimäärä",Kevät 2008,278,254,228,196,166,125,,,
"Englanti, lyhyt oppimäärä",Kevät 2008,263,237,212,188,162,125,,,
"Ranska, lyhyt oppimäärä",Kevät 2008,284,259,234,204,171,131,,,
"Venäjä, lyhyt oppimäärä",Kevät 2008,272,248,218,181,156,115,,,
"Espanja, lyhyt oppimäärä",Kevät 2008,288,272,249,216,183,141,,,
"Italia , lyhyt oppimäärä",Kevät 2008,287,270,239,201,168,128,,,
"Latina, laajempi oppimäärä",Kevät 2008,198,182,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2008,198,184,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2008,195,182,165,140,120,100,,,
"Portugali, lyhyt oppimäärä",Kevät 2008,180,173,160,145,126,100,,,
Evankelis-luterilainen uskonto,Kevät 2008,034,027,022,017,012,008,,,
Ortodoksinen uskonto,Kevät 2008,034,028,024,016,012,009,,,
Evankelis-luterilainen uskonto,Syksy 2007,034,028,024,019,014,009,,,
Ortodoksinen uskonto,Syksy 2007,034,026,018,014,011,007,,,
Elämänkatsomustieto,Syksy 2007,035,029,023,019,015,009,,,
Filosofia,Syksy 2007,034,027,022,017,012,007,,,
Psykologia,Syksy 2007,032,025,020,015,011,007,,,
Historia,Syksy 2007,035,029,024,019,014,010,,,
Yhteiskuntaoppi,Syksy 2007,034,029,025,021,016,011,,,
Fysiikka,Syksy 2007,038,030,022,016,011,007,,,
"Äidinkieli, suomi",Syksy 2012,086,072,060,046,034,023,,,
"Venäjä, pitkä oppimäärä",Syksy 2008,280,264,234,200,165,125,,,
"Espanja, pitkä oppimäärä",Syksy 2008,275,254,230,208,186,130,,,
"Saksa, lyhyt oppimäärä",Syksy 2008,277,251,223,197,164,123,,,
"Englanti, lyhyt oppimäärä",Syksy 2008,261,235,210,182,154,125,,,
"Ranska, lyhyt oppimäärä",Syksy 2008,279,255,229,199,169,127,,,
"Venäjä, lyhyt oppimäärä",Syksy 2008,269,238,205,170,145,115,,,
"Espanja, lyhyt oppimäärä",Syksy 2008,285,269,244,220,179,132,,,
"Italia , lyhyt oppimäärä",Syksy 2008,278,253,234,217,189,130,,,
"Latina, laajempi oppimäärä",Syksy 2008,198,182,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2008,196,182,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2008,195,182,165,140,120,100,,,
"Portugali, lyhyt oppimäärä",Syksy 2008,190,177,160,145,119,100,,,
Evankelis-luterilainen uskonto,Syksy 2008,034,028,023,018,013,010,,,
Ortodoksinen uskonto,Syksy 2008,031,024,022,018,014,009,,,
Elämänkatsomustieto,Syksy 2008,034,028,023,018,013,008,,,
"Äidinkieli, suomi",Kevät 2013,087,073,062,050,039,028,,,
"Äidinkieli, ruotsi",Kevät 2013,092,075,064,051,039,027,,,
"Saksa, pitkä oppimäärä",Syksy 2009,288,256,228,203,177,129,,,
"Ranska, pitkä oppimäärä",Syksy 2009,275,251,231,203,163,135,,,
"Venäjä, pitkä oppimäärä",Syksy 2009,279,261,234,200,165,125,,,
"Espanja, pitkä oppimäärä",Syksy 2009,278,269,245,225,190,140,,,
"Saksa, lyhyt oppimäärä",Syksy 2009,284,262,236,207,176,135,,,
"Englanti, lyhyt oppimäärä",Syksy 2009,263,231,200,176,150,119,,,
"Ranska, lyhyt oppimäärä",Syksy 2009,275,251,229,200,161,115,,,
"Venäjä, lyhyt oppimäärä",Syksy 2009,265,245,220,180,145,110,,,
"Espanja, lyhyt oppimäärä",Syksy 2009,286,269,244,212,174,130,,,
"Italia , lyhyt oppimäärä",Syksy 2009,290,271,252,232,189,130,,,
"Äidinkieli, suomi",Syksy 2013,87,71,60,49,38,24,,,
"Espanja, pitkä oppimäärä",Syksy 2010,270,260,241,218,185,138,,,
"Saksa, lyhyt oppimäärä",Syksy 2010,274,243,210,182,155,124,,,
"Englanti, lyhyt oppimäärä",Syksy 2010,260,230,206,180,150,125,,,
"Ranska, lyhyt oppimäärä",Syksy 2010,274,252,230,202,170,131,,,
"Venäjä, lyhyt oppimäärä",Syksy 2010,275,255,225,190,155,120,,,
"Espanja, lyhyt oppimäärä",Syksy 2010,279,263,237,204,155,117,,,
"Italia , lyhyt oppimäärä",Syksy 2010,285,264,242,208,188,130,,,
"Latina, laajempi oppimäärä",Syksy 2010,195,177,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2010,195,182,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2010,195,182,165,140,120,100,,,
"Portugali, lyhyt oppimäärä",Syksy 2010,195,175,147,130,115,100,,,
Evankelis-luterilainen uskonto,Syksy 2010,035,028,023,017,012,008,,,
"Saksa, lyhyt oppimäärä",Syksy 2011,281,250,221,194,161,120,,,
"Englanti, lyhyt oppimäärä",Syksy 2011,260,237,215,185,158,125,,,
"Ranska, lyhyt oppimäärä",Syksy 2011,271,250,226,198,163,118,,,
"Venäjä, lyhyt oppimäärä",Syksy 2011,274,257,228,195,160,125,,,
"Espanja, lyhyt oppimäärä",Syksy 2011,285,264,242,207,171,135,,,
"Italia , lyhyt oppimäärä",Syksy 2011,282,264,250,217,188,128,,,
"Latina, laajempi oppimäärä",Syksy 2011,195,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2011,195,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2011,195,181,166,140,120,100,,,
"Portugali, lyhyt oppimäärä",Syksy 2011,191,178,160,146,120,100,,,
Evankelis-luterilainen uskonto,Syksy 2011,036,030,024,018,013,008,,,
Ortodoksinen uskonto,Syksy 2011,032,025,021,017,013,009,,,
Elämänkatsomustieto,Syksy 2011,034,026,022,017,011,007,,,
Filosofia,Syksy 2011,034,028,023,019,014,008,,,
"Englanti, pitkä oppimäärä",Kevät 2009,271,249,226,200,168,129,,,
"Saksa, pitkä oppimäärä",Kevät 2009,288,267,248,223,198,139,,,
"Ranska, pitkä oppimäärä",Kevät 2009,283,261,243,219,185,136,,,
"Venäjä, pitkä oppimäärä",Kevät 2009,277,252,220,190,160,125,,,
"Espanja, pitkä oppimäärä",Kevät 2009,274,258,228,205,165,120,,,
"Saksa, lyhyt oppimäärä",Kevät 2009,280,253,228,198,166,127,,,
"Englanti, lyhyt oppimäärä",Kevät 2009,260,234,204,183,153,116,,,
"Ranska, lyhyt oppimäärä",Kevät 2009,277,254,231,203,171,131,,,
"Venäjä, lyhyt oppimäärä",Kevät 2009,277,244,210,180,158,125,,,
"Espanja, lyhyt oppimäärä",Kevät 2009,285,267,246,215,179,142,,,
"Italia , lyhyt oppimäärä",Kevät 2009,282,257,237,202,169,128,,,
"Latina, laajempi oppimäärä",Kevät 2009,198,184,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2009,198,184,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2009,195,182,165,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2009,200,175,155,135,115,100,,,
"Ranska, pitkä oppimäärä",Kevät 2011,285,264,243,220,188,132,,,
"Venäjä, pitkä oppimäärä",Kevät 2011,274,248,218,190,155,125,,,
"Espanja, pitkä oppimäärä",Kevät 2011,273,260,232,206,184,135,,,
"Saksa, lyhyt oppimäärä",Kevät 2011,274,244,213,180,150,120,,,
"Englanti, lyhyt oppimäärä",Kevät 2011,260,230,210,185,154,125,,,
"Ranska, lyhyt oppimäärä",Kevät 2011,274,253,228,202,172,134,,,
"Venäjä, lyhyt oppimäärä",Kevät 2011,273,246,213,184,161,119,,,
"Espanja, lyhyt oppimäärä",Kevät 2011,283,262,226,199,166,129,,,
"Italia , lyhyt oppimäärä",Kevät 2011,283,270,241,209,178,125,,,
"Latina, laajempi oppimäärä",Kevät 2011,195,180,160,140,120,100,,,
"Ranska, lyhyt oppimäärä",Kevät 2010,270,244,221,193,163,126,,,
"Venäjä, lyhyt oppimäärä",Kevät 2010,272,245,212,183,158,119,,,
"Espanja, lyhyt oppimäärä",Kevät 2010,286,265,243,212,174,134,,,
"Italia , lyhyt oppimäärä",Kevät 2010,269,248,233,205,178,123,,,
"Latina, laajempi oppimäärä",Kevät 2010,196,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Kevät 2010,196,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Kevät 2010,195,182,165,140,120,100,,,
"Inarinsaame, lyhyt oppimäärä",Kevät 2010,200,175,155,135,115,100,,,
"Portugali, lyhyt oppimäärä",Kevät 2010,190,178,159,139,120,100,,,
Evankelis-luterilainen uskonto,Kevät 2010,034,027,022,017,013,009,,,
Ortodoksinen uskonto,Kevät 2010,032,025,022,017,012,010,,,
Kemia,Kevät 2007,044,038,031,023,015,008,,,
Biologia,Kevät 2007,042,036,031,025,018,012,,,
Maantiede,Kevät 2007,033,027,023,018,014,010,,,
Terveystieto,Kevät 2007,031,024,020,016,013,009,,,
"Äidinkieli, ruotsi",Kevät 2012,094,078,065,050,039,028,,,
"Äidinkieli, pohjoissaame",Kevät 2012,060,050,040,030,020,010,,,
"Äidinkieli, koltansaame",Kevät 2012,055,050,040,030,020,010,,,
Suomi toisena kielenä,Kevät 2012,186,169,152,131,107,080,,,
Svenska som andraspråk,Kevät 2012,186,169,152,131,107,080,,,
"Matematiikka, pitkä oppimäärä",Kevät 2012,059,050,039,029,020,013,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2012,051,042,035,027,019,013,,,
"Ruotsi, pitkä oppimäärä",Kevät 2012,265,238,214,183,147,109,,,
Elämänkatsomustieto,Kevät 2008,035,028,023,017,014,010,,,
Filosofia,Kevät 2008,035,029,023,017,012,009,,,
Psykologia,Kevät 2008,031,025,021,016,012,008,,,
Historia,Kevät 2008,033,027,022,017,013,009,,,
Yhteiskuntaoppi,Kevät 2008,034,028,024,019,015,011,,,
Fysiikka,Kevät 2008,043,034,027,020,015,010,,,
Kemia,Kevät 2008,042,034,027,019,012,007,,,
Biologia,Kevät 2008,043,036,030,022,015,010,,,
Maantiede,Kevät 2008,033,027,023,018,014,010,,,
Terveystieto,Kevät 2008,030,025,021,017,013,010,,,
Kemia,Syksy 2007,044,038,032,024,016,010,,,
Biologia,Syksy 2007,042,036,030,023,016,009,,,
Maantiede,Syksy 2007,033,027,023,018,014,010,,,
Terveystieto,Syksy 2007,030,025,021,017,014,010,,,
,Syksy 2014,,,,,,,,,
,Syksy 2014,,,,,,,,,
"Äidinkieli, ruotsi",Syksy 2012,093,075,062,043,032,021,,,
"Äidinkieli, pohjoissaame",Syksy 2012,060,050,040,030,020,010,,,
Suomi toisena kielenä,Syksy 2012,183,166,150,130,113,089,,,
Svenska som andraspråk,Syksy 2012,183,166,150,130,113,089,,,
"Matematiikka, pitkä oppimäärä",Syksy 2012,059,047,032,020,014,009,,,
"Matematiikka, lyhyt oppimäärä",Syksy 2012,055,047,039,030,021,013,,,
"Ruotsi, pitkä oppimäärä",Syksy 2012,274,249,220,180,137,101,,,
"Ruotsi, keskipitkä oppimäärä",Syksy 2012,252,220,192,159,128,104,,,
"Suomi, pitkä oppimäärä",Syksy 2012,278,257,237,211,183,137,,,
"Suomi, keskipitkä oppimäärä",Syksy 2012,255,234,211,177,147,114,,,
"Englanti, pitkä oppimäärä",Syksy 2012,273,253,233,204,164,123,,,
"Saksa, pitkä oppimäärä",Syksy 2012,286,254,216,183,150,115,,,
"Ranska, pitkä oppimäärä",Syksy 2012,281,262,236,194,160,119,,,
"Venäjä, pitkä oppimäärä",Syksy 2012,277,260,236,204,167,120,,,
Filosofia,Syksy 2008,034,027,022,017,012,008,,,
Psykologia,Syksy 2008,032,026,021,016,011,007,,,
Historia,Syksy 2008,034,028,023,018,013,008,,,
Yhteiskuntaoppi,Syksy 2008,033,028,024,020,015,011,,,
Fysiikka,Syksy 2008,038,030,022,016,011,007,,,
Kemia,Syksy 2008,044,036,029,021,014,009,,,
Biologia,Syksy 2008,042,035,029,023,016,010,,,
Maantiede,Syksy 2008,033,028,024,020,016,012,,,
Terveystieto,Syksy 2008,031,025,021,017,013,010,,,
"Äidinkieli, suomi",Kevät 2015,87,72,61,51,41,30,27,24,20
"Äidinkieli, pohjoissaame",Kevät 2013,060,050,040,030,020,010,,,
"Äidinkieli, koltansaame",Kevät 2013,060,050,040,030,020,010,,,
Suomi toisena kielenä,Kevät 2013,185,169,155,137,120,093,,,
Svenska som andraspråk,Kevät 2013,185,167,155,137,120,093,,,
"Matematiikka, pitkä oppimäärä",Kevät 2013,059,049,038,027,017,011,,,
"Matematiikka, lyhyt oppimäärä",Kevät 2013,056,048,040,030,021,013,,,
"Ruotsi, pitkä oppimäärä",Kevät 2013,269,243,216,184,148,116,,,
"Ruotsi, keskipitkä oppimäärä",Kevät 2013,245,208,178,147,121,101,,,
"Suomi, pitkä oppimäärä",Kevät 2013,274,254,234,205,179,142,,,
"Suomi, keskipitkä oppimäärä",Kevät 2013,268,246,223,188,146,110,,,
"Englanti, pitkä oppimäärä",Kevät 2013,268,248,226,199,165,126,,,
"Saksa, pitkä oppimäärä",Kevät 2013,282,265,245,215,181,123,,,
"Latina, laajempi oppimäärä",Syksy 2009,197,180,160,140,120,100,,,
"Latina, lyhyt oppimäärä",Syksy 2009,196,180,160,140,120,100,,,
"Pohjoissaame, lyhyt oppimäärä",Syksy 2009,195,182,165,140,120,100,,,
"Portugali, lyhyt oppimäärä",Syksy 2009,190,179,163,146,126,100,,,
Evankelis-luterilainen uskonto,Syksy 2009,033,027,022,017,013,009,,,
Ortodoksinen uskonto,Syksy 2009,032,026,022,017,013,009,,,
Elämänkatsomustieto,Syksy 2009,035,029,024,018,014,010,,,
Filosofia,Syksy 2009,034,027,022,017,012,008,,,
Psykologia,Syksy 2009,033,027,022,017,012,008,,,
Historia,Syksy 2009,034,028,023,018,013,009,,,
Yhteiskuntaoppi,Syksy 2009,035,029,025,020,015,012,,,
Fysiikka,Syksy 2009,042,035,026,018,012,009,,,
"Äidinkieli, ruotsi",Syksy 2013,92,75,64,49,39,24,,,
"Äidinkieli, pohjoissaame",Syksy 2013,60,50,40,30,20,10,,,
Suomi toisena kielenä,Syksy 2013,184,171,156,137,116,90,,,
Svenska som andraspråk,Syksy 2013,184,171,156,137,116,90,,,
